encounter_name,map_name,matched_canonical_location_id,matched_canonical_location_name,matched_map
TRAINER_YOUNGSTER_TRISTAN,R202,173,Route 202,R202
TRAINER_YOUNGSTER_LOGAN,R202,173,Route 202,R202
TRAINER_LASS_NATALIE,R202,173,Route 202,R202
TRAINER_YOUNGSTER_MICHAEL,R203,174,Route 203,R203
TRAINER_YOUNGSTER_TYLER,R204A,179,Route 204,R204A
TRAINER_LASS_SAMANTHA,R204A,179,Route 204,R204A
TRAINER_LASS_SARAH,R204A,179,Route 204,R204A
TRAINER_BUG_CATCHER_BRANDON,R204B,179,Route 204,R204B
TRAINER_AROMA_LADY_TAYLOR,R204B,179,Route 204,R204B
TRAINER_TWINS_LIV_LIZ,R204B,179,Route 204,R204B
TRAINER_CAMPER_JACOB,R205A,182,Route 205,R205A
TRAINER_PICNICKER_SIENA,R205A,182,Route 205,R205A
TRAINER_HIKER_DANIEL,R205A,182,Route 205,R205A
TRAINER_HIKER_NICHOLAS,R205A,182,Route 205,R205A
TRAINER_BATTLE_GIRL_KELSEY,R205A,182,Route 205,R205A
TRAINER_AROMA_LADY_ELIZABETH,R205A,182,Route 205,R205A
TRAINER_FISHERMAN_ANDREW,R205B,182,Route 205,R205B
TRAINER_FISHERMAN_JOSEPH,R205B,182,Route 205,R205B
TRAINER_FISHERMAN_ZACHARY,R205B,182,Route 205,R205B
TRAINER_CYCLIST_M_AXEL,R206,187,Route 206,R206
TRAINER_CYCLIST_M_JAMES,R206,187,Route 206,R206
TRAINER_CYCLIST_M_JOHN,R206,187,Route 206,R206
TRAINER_CYCLIST_M_RYAN,R206,187,Route 206,R206
TRAINER_CYCLIST_F_MEGAN,R206,187,Route 206,R206
TRAINER_CYCLIST_F_NICOLE,R206,187,Route 206,R206
TRAINER_CYCLIST_F_KAYLA,R206,187,Route 206,R206
TRAINER_CYCLIST_F_RACHEL,R206,187,Route 206,R206
TRAINER_YOUNGSTER_AUSTIN,R207,178,Route 207,R207
TRAINER_CAMPER_ANTHONY,R207,178,Route 207,R207
TRAINER_PICNICKER_LAUREN,R207,178,Route 207,R207
TRAINER_HIKER_KEVIN,R207,178,Route 207,R207
TRAINER_HIKER_JUSTIN,R207,178,Route 207,R207
TRAINER_BATTLE_GIRL_HELEN,R207,178,Route 207,R207
TRAINER_HIKER_ROBERT,R208,190,Route 208,R208
TRAINER_HIKER_ALEXANDER,R208,190,Route 208,R208
TRAINER_HIKER_JONATHAN,R208,190,Route 208,R208
TRAINER_BLACK_BELT_KYLE,R208,190,Route 208,R208
TRAINER_FISHERMAN_CODY,R208,190,Route 208,R208
TRAINER_AROMA_LADY_HANNAH,R208,190,Route 208,R208
TRAINER_ARTIST_WILLIAM,R208,190,Route 208,R208
TRAINER_PKMN_BREEDER_M_ALBERT,R209,192,Route 209,R209
TRAINER_PKMN_BREEDER_F_JENNIFER,R209,192,Route 209,R209
TRAINER_COWGIRL_SHELLEY,R209,192,Route 209,R209
TRAINER_JOGGER_RICHARD,R209,192,Route 209,R209
TRAINER_POKE_KID_DANIELLE,R209,192,Route 209,R209
TRAINER_YOUNG_COUPLE_TY_SUE,R209,192,Route 209,R209
TRAINER_PKMN_BREEDER_M_KAHLIL,R210A,195,Route 210,R210A
TRAINER_PKMN_BREEDER_F_AMBER,R210A,195,Route 210,R210A
TRAINER_TWINS_TERI_TIA,R210A,195,Route 210,R210A
TRAINER_ACE_TRAINER_M_ERNEST,R210B,195,Route 210,R210B
TRAINER_ACE_TRAINER_F_ALYSSA,R210B,195,Route 210,R210B
TRAINER_VETERAN_BRIAN,R210B,195,Route 210,R210B
TRAINER_BLACK_BELT_ADAM,R210B,195,Route 210,R210B
TRAINER_NINJA_BOY_JOEL,R210B,195,Route 210,R210B
TRAINER_NINJA_BOY_NATHAN,R210B,195,Route 210,R210B
TRAINER_NINJA_BOY_DAVIDO,R210B,195,Route 210,R210B
TRAINER_DRAGON_TAMER_PATRICK,C01,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0202,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0203,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0205,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0301,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0501,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0503,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0601,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0701,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0801,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C01R0802,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C02,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C02PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C02PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C02R0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0202,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0401,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C03R0601,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04GYM0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0202,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0204,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0301,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C04R0401,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05GYM0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05GYM0113,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0301,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0401,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0701,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0801,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R0802,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R1101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R1102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C05R1201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C06,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C06PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C06PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C06R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07GYM0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07R0201,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07R0202,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07R0203,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C07R0204,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08GYM0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08GYM0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08R0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C08R0301,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C09GYM0101,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C09PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C09PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10PC0102,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10PC0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0103,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0105,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0107,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0109,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0114,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C10R0115,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C11,171,Route 201,R201
TRAINER_DRAGON_TAMER_PATRICK,C11PC0102,171,Route 201,R201
