version_group_id,trainer_key,slot,species_name,move_name,noted_at,note
1001,TRAINER_BB_CLERK_CLEMENS,1,LOUDRED,Bite,2026-08-27 16:42:59.028269-05,
1001,TRAINER_BB_CLERK_CLEMENS,2,KIRLIA,Lucky Chant,2026-08-27 16:42:59.029701-05,
1001,TRAINER_BB_CLERK_CLEMENS,4,NIDORINO,Double Kick,2026-08-27 16:42:59.031093-05,
1001,TRAINER_BB_CLERK_INGRID,1,POLIWAG,Mud Shot,2026-08-27 16:42:59.018929-05,
1001,TRAINER_BB_CLERK_INGRID,2,GOLDEEN,Supersonic,2026-08-27 16:42:59.020332-05,
1001,TRAINER_BB_CLERK_INGRID,2,GOLDEEN,Water Pulse,2026-08-27 16:42:59.021741-05,
1001,TRAINER_BB_CLERK_INGRID,3,STARYU,Signal Beam,2026-08-27 16:42:59.023128-05,
1001,TRAINER_BB_CLERK_INGRID,4,AZUMARILL,Tail Whip,2026-08-27 16:42:59.024512-05,
1001,TRAINER_BB_CLERK_INGRID,4,AZUMARILL,Water Gun,2026-08-27 16:42:59.026352-05,
1001,TRAINER_BB_CLERK_IVAN,2,LEDIAN,Baton Pass,2026-08-27 16:42:59.035717-05,
1001,TRAINER_BB_CLERK_WADE,1,GOLETT,Magnitude,2026-08-27 16:42:59.04013-05,
1001,TRAINER_BB_CLERK_WADE,2,CLAMPERL,Iron Defense,2026-08-27 16:42:59.042011-05,
1001,TRAINER_BB_CLERK_WADE,2,CLAMPERL,Water Pulse,2026-08-27 16:42:59.044142-05,
1001,TRAINER_BB_CLERK_WADE,3,POLIWHIRL,Body Slam,2026-08-27 16:42:59.045823-05,
1001,TRAINER_BB_CLERK_WARREN,2,ONIX,Smack Down,2026-08-27 16:42:59.034126-05,
1001,TRAINER_BB_LASS_ERI,1,SENTRET,Defense Curl,2026-08-27 16:42:58.790842-05,
1001,TRAINER_BB_LASS_ERI,1,SENTRET,Foresight,2026-08-27 16:42:58.792887-05,
1001,TRAINER_BB_LASS_ERI,1,SENTRET,Quick Attack,2026-08-27 16:42:58.789447-05,
1001,TRAINER_BB_LASS_ERI,2,SKITTY,Attract,2026-08-27 16:42:58.795002-05,
1001,TRAINER_BB_LASS_ERI,2,SKITTY,Foresight,2026-08-27 16:42:58.796557-05,
